sessionId;kwhTotal;startTime;endTime;chargeTimeHrs;userId
1092006;6.92;16;21;4.618888889;97867440
2735458;6.96;17;21;3.319722222;97867440
7627992;6.14;18;21;3.069166667;97867440
1718423;6.73;18;21;3.272222222;97867440
9192828;6.81;13;16;3.139166667;97867440
1572979;6.83;17;21;3.595833333;97867440
3487904;7.13;17;21;3.493888889;97867440
6763610;5.71;16;21;4.517222222;97867440
2012032;6.97;13;16;3.234444444;97867440
9373410;6.91;17;21;3.895277778;97867440
7529207;6.71;15;19;3.236944444;97867440
3669573;5.79;18;21;3.220277778;97867440
1986133;6.93;17;21;3.965;97867440
6948821;6.99;18;21;3.01;97867440
3614527;7.03;18;21;2.895;97867440
4136508;6.96;17;21;3.689722222;97867440
3086685;5.94;17;21;3.354166667;97867440
1646115;6.71;17;21;3.279166667;97867440
2774472;6.94;18;21;3.099722222;97867440
9846685;6.96;18;21;2.601388889;97867440
8226298;6.93;18;21;2.737777778;97867440
2451482;5.71;17;21;3.648888889;97867440
1973215;6.98;18;21;2.873888889;97867440
1279402;5.72;17;21;3.420833333;97867440
7508235;6.23;17;20;3.838611111;97867440
3413837;5.9;17;21;3.48;97867440
8101955;5.94;17;21;3.309722222;97867440
5102547;6.02;17;21;3.531388889;97867440
5636445;6.25;17;21;3.732222222;97867440
9979037;6.04;18;21;3.286944444;97867440
8350412;6.3;17;21;3.454444444;97867440
8738836;5.9;12;16;3.896666667;97867440
4301228;5.55;12;15;3.061944444;97867440
8570311;6.41;12;16;3.445;97867440
3586411;6.63;12;15;3.0725;97867440
8795078;6.56;12;16;3.429722222;97867440
6741360;6.3;12;16;3.493333333;97867440
3514859;5.81;17;21;3.949166667;97867440
1636865;5.74;18;21;3.036944444;97867440
9424700;5.83;12;16;3.5025;97867440
3244147;6.63;12;16;4.174444444;97867440
4923767;6.89;18;20;2.351666667;97867440
2584531;6.87;13;16;3.669166667;97867440
3701503;5.78;11;13;2.051666667;97867440
1814207;5.66;12;14;2.265;97867440
3219175;6.03;12;14;2.755833333;97867440
8707146;6.21;12;14;2.459166667;97867440
9226641;5.77;12;15;3.181388889;97867440
5806483;6.08;12;15;2.946111111;97867440
4469845;6.24;13;15;2.3525;97867440
