Days;Time;Slow1;Slow2;Fast1;Fast2
22/03/2017;03:00;0,38000000;0,10000000;0,11640000;0,12020000
22/03/2017;03:15;0,34000000;0,15000000;0,10980000;0,07240000
22/03/2017;03:30;0,29000000;0,10000000;0,08120000;0,05760000
22/03/2017;03:45;0,69000000;0,05000000;0,10360000;0,10940000
22/03/2017;04:00;1,11000000;0,05000000;0,12580000;0,11020000
22/03/2017;04:15;1,01000000;0,00000000;0,11100000;0,10940000
22/03/2017;04:30;0,76000000;0,00000000;0,11760000;0,10120000
22/03/2017;04:45;0,54000000;0,00000000;0,10280000;0,10040000
22/03/2017;05:00;0,34000000;0,25000000;0,12340000;0,08560000
22/03/2017;05:15;0,24000000;0,73000000;0,14540000;0,07240000
22/03/2017;05:30;0,15000000;0,78000000;0,13800000;0,05840000
22/03/2017;05:45;0,05000000;0,68000000;0,13880000;0,04440000
22/03/2017;06:00;0,05000000;0,39000000;0,14540000;0,04440000
22/03/2017;06:15;0,14000000;0,20000000;0,13720000;0,03700000
22/03/2017;06:30;0,14000000;0,25000000;0,16680000;0,05180000
22/03/2017;06:45;0,05000000;0,20000000;0,18160000;0,05180000
22/03/2017;07:00;0,05000000;0,20000000;0,20380000;0,04440000
22/03/2017;07:15;0,00000000;0,10000000;0,19640000;0,04440000
22/03/2017;07:30;0,30000000;0,34000000;0,23260000;0,08800000
22/03/2017;07:45;0,62000000;0,53000000;0,21780000;0,11760000
22/03/2017;08:00;0,70000000;0,53000000;0,23260000;0,13240000
22/03/2017;08:15;0,29000000;0,24000000;0,22600000;0,11760000
22/03/2017;08:30;0,14000000;0,10000000;0,18900000;0,10280000
22/03/2017;08:45;0,05000000;0,05000000;0,21040000;0,08880000
22/03/2017;09:00;0,10000000;0,20000000;0,24640000;0,06660000
22/03/2017;09:15;0,10000000;0,30000000;0,23160000;0,05180000
22/03/2017;09:30;0,05000000;0,15000000;0,23160000;0,05180000
22/03/2017;09:45;0,05000000;0,10000000;0,20280000;0,05180000
22/03/2017;10:00;0,10000000;0,30000000;0,21020000;0,06660000
22/03/2017;10:15;0,10000000;0,30000000;0,26080000;0,08140000
22/03/2017;10:30;0,10000000;0,20000000;0,26080000;0,07400000
22/03/2017;10:45;0,05000000;0,15000000;0,26080000;0,06660000
22/03/2017;11:00;0,05000000;0,10000000;0,25360000;0,07400000
22/03/2017;11:15;0,10000000;0,05000000;0,20920000;0,05920000
22/03/2017;11:30;0,05000000;0,15000000;0,20100000;0,05180000
22/03/2017;11:45;0,00000000;0,34000000;0,21500000;0,04440000
22/03/2017;12:00;0,05000000;0,34000000;0,21520000;0,06640000
22/03/2017;12:15;0,10000000;0,34000000;0,21520000;0,08040000
22/03/2017;12:30;0,05000000;0,24000000;0,22180000;0,09440000
